"","water_year","month","block","release_datetime","tag_id_hex","weight_gr","fork_length_mm"
"1","2024","Dec","Block 1",2023-12-06 09:09:00,"25A3",NA,NA
"2","2024","Dec","Block 1",2023-12-06 09:09:00,"2262",NA,NA
"3","2024","Dec","Block 1",2023-12-06 09:09:00,"2244",NA,NA
"4","2024","Dec","Block 1",2023-12-06 09:09:00,"25A1",NA,NA
"5","2024","Dec","Block 1",2023-12-06 09:09:00,"24DA",NA,NA
"6","2024","Dec","Block 1",2023-12-06 09:09:00,"2265",NA,NA
"7","2024","Dec","Block 1",2023-12-06 09:09:00,"24EB",NA,NA
"8","2024","Dec","Block 1",2023-12-06 09:09:00,"2539",NA,NA
"9","2024","Dec","Block 1",2023-12-06 09:09:00,"26D9",NA,NA
"10","2024","Dec","Block 1",2023-12-06 09:09:00,"266A",NA,NA
"11","2024","Dec","Block 1",2023-12-06 12:05:00,"1E54",NA,NA
"12","2024","Dec","Block 1",2023-12-06 12:05:00,"2915",NA,NA
"13","2024","Dec","Block 1",2023-12-06 12:05:00,"1ED4",NA,NA
"14","2024","Dec","Block 1",2023-12-06 12:05:00,"23A6",NA,NA
"15","2024","Dec","Block 1",2023-12-06 12:05:00,"26CD",NA,NA
"16","2024","Dec","Block 1",2023-12-06 12:05:00,"2865",NA,NA
"17","2024","Dec","Block 1",2023-12-06 12:05:00,"25C8",NA,NA
"18","2024","Dec","Block 1",2023-12-06 12:05:00,"226C",NA,NA
"19","2024","Dec","Block 1",2023-12-06 12:05:00,"2597",NA,NA
"20","2024","Dec","Block 1",2023-12-06 12:05:00,"2665",NA,NA
"21","2024","Dec","Block 1",2023-12-06 15:01:00,"25B5",NA,NA
"22","2024","Dec","Block 1",2023-12-06 15:01:00,"225E",NA,NA
"23","2024","Dec","Block 1",2023-12-06 15:01:00,"2664",NA,NA
"24","2024","Dec","Block 1",2023-12-06 15:01:00,"224D",NA,NA
"25","2024","Dec","Block 1",2023-12-06 15:01:00,"26E8",NA,NA
"26","2024","Dec","Block 1",2023-12-06 15:01:00,"272E",NA,NA
"27","2024","Dec","Block 1",2023-12-06 15:01:00,"22DB",NA,NA
"28","2024","Dec","Block 1",2023-12-06 15:01:00,"2571",NA,NA
"29","2024","Dec","Block 1",2023-12-06 15:01:00,"20A9",NA,NA
"30","2024","Dec","Block 1",2023-12-06 15:01:00,"209A",NA,NA
"31","2024","Dec","Block 1",2023-12-06 17:59:00,"25AE",NA,NA
"32","2024","Dec","Block 1",2023-12-06 17:59:00,"2054",NA,NA
"33","2024","Dec","Block 1",2023-12-06 17:59:00,"2726",NA,NA
"34","2024","Dec","Block 1",2023-12-06 17:59:00,"2558",NA,NA
"35","2024","Dec","Block 1",2023-12-06 17:59:00,"2289",NA,NA
"36","2024","Dec","Block 1",2023-12-06 17:59:00,"20D6",NA,NA
"37","2024","Dec","Block 1",2023-12-06 17:59:00,"26BC",NA,NA
"38","2024","Dec","Block 1",2023-12-06 17:59:00,"2853",NA,NA
"39","2024","Dec","Block 1",2023-12-06 17:59:00,"2752",NA,NA
"40","2024","Dec","Block 1",2023-12-06 17:59:00,"25B2",NA,NA
"41","2024","Dec","Block 1",2023-12-06 21:06:00,"246A",NA,NA
"42","2024","Dec","Block 1",2023-12-06 21:06:00,"22CD",NA,NA
"43","2024","Dec","Block 1",2023-12-06 21:06:00,"2326",NA,NA
"44","2024","Dec","Block 1",2023-12-06 21:06:00,"2517",NA,NA
"45","2024","Dec","Block 1",2023-12-06 21:06:00,"265E",NA,NA
"46","2024","Dec","Block 1",2023-12-06 21:06:00,"21A6",NA,NA
"47","2024","Dec","Block 1",2023-12-06 21:06:00,"2250",NA,NA
"48","2024","Dec","Block 1",2023-12-06 21:06:00,"246B",NA,NA
"49","2024","Dec","Block 1",2023-12-06 21:06:00,"2762",NA,NA
"50","2024","Dec","Block 1",2023-12-06 21:06:00,"2252",NA,NA
"51","2024","Dec","Block 1",2023-12-07 00:06:00,"26A9",NA,NA
"52","2024","Dec","Block 1",2023-12-07 00:06:00,"252D",NA,NA
"53","2024","Dec","Block 1",2023-12-07 00:06:00,"26BB",NA,NA
"54","2024","Dec","Block 1",2023-12-07 00:06:00,"290C",NA,NA
"55","2024","Dec","Block 1",2023-12-07 00:06:00,"2910",NA,NA
"56","2024","Dec","Block 1",2023-12-07 00:06:00,"24BE",NA,NA
"57","2024","Dec","Block 1",2023-12-07 00:06:00,"25B4",NA,NA
"58","2024","Dec","Block 1",2023-12-07 00:06:00,"1EA4",NA,NA
"59","2024","Dec","Block 1",2023-12-07 00:06:00,"2553",NA,NA
"60","2024","Dec","Block 1",2023-12-07 00:06:00,"24E2",NA,NA
"61","2024","Dec","Block 1",2023-12-07 03:05:00,"2528",NA,NA
"62","2024","Dec","Block 1",2023-12-07 03:05:00,"22D8",NA,NA
"63","2024","Dec","Block 1",2023-12-07 03:05:00,"20BA",NA,NA
"64","2024","Dec","Block 1",2023-12-07 03:05:00,"22D9",NA,NA
"65","2024","Dec","Block 1",2023-12-07 03:05:00,"2636",NA,NA
"66","2024","Dec","Block 1",2023-12-07 03:05:00,"249A",NA,NA
"67","2024","Dec","Block 1",2023-12-07 03:05:00,"1DDA",NA,NA
"68","2024","Dec","Block 1",2023-12-07 03:05:00,"2145",NA,NA
"69","2024","Dec","Block 1",2023-12-07 03:05:00,"2921",NA,NA
"70","2024","Dec","Block 1",2023-12-07 03:05:00,"26D4",NA,NA
"71","2024","Dec","Block 1",2023-12-07 09:10:00,"236A",22.4,134
"72","2024","Dec","Block 1",2023-12-07 09:10:00,"28F4",40.6,158
"73","2024","Dec","Block 1",2023-12-07 09:10:00,"24B8",29,145
"74","2024","Dec","Block 1",2023-12-07 09:10:00,"243A",7.3,89
"75","2024","Dec","Block 1",2023-12-07 09:10:00,"2534",32.5,147
"76","2024","Dec","Block 1",2023-12-07 09:10:00,"275B",20.5,131
"77","2024","Dec","Block 1",2023-12-07 09:10:00,"1EB2",57.2,170
"78","2024","Dec","Block 1",2023-12-07 09:10:00,"2586",8.3,95
"79","2024","Dec","Block 1",2023-12-07 09:10:00,"235B",30.6,142
"80","2024","Dec","Block 1",2023-12-07 09:10:00,"222A",39.8,158
"81","2024","Dec","Block 1",2023-12-07 12:12:00,"2911",58.2,172
"82","2024","Dec","Block 1",2023-12-07 12:12:00,"2295",10.7,105
"83","2024","Dec","Block 1",2023-12-07 12:12:00,"2774",60.1,180
"84","2024","Dec","Block 1",2023-12-07 12:12:00,"272A",20.9,132
"85","2024","Dec","Block 1",2023-12-07 12:12:00,"254E",65,167
"86","2024","Dec","Block 1",2023-12-07 12:12:00,"2689",12.1,141
"87","2024","Dec","Block 1",2023-12-07 12:12:00,"2765",22.6,132
"88","2024","Dec","Block 1",2023-12-07 12:12:00,"24D2",9.8,100
"89","2024","Dec","Block 1",2023-12-07 12:12:00,"24D9",40.6,160
"90","2024","Dec","Block 1",2023-12-07 12:12:00,"1E94",21.2,135
"91","2024","Dec","Block 1",2023-12-07 15:10:00,"2351",21.3,138
