"","start","end","water_year"
"1",2023-12-06,2023-12-09,2024
"2",2023-12-13,2023-12-16,2024
"3",2024-01-10,2024-01-13,2024
"4",2024-01-17,2024-01-20,2024
"5",2024-02-14,2024-02-17,2024
"6",2024-04-17,2024-04-20,2024
"7",2024-04-24,2024-04-27,2024
"11",2024-12-04,2024-12-07,2025
"21",2024-12-11,2024-12-14,2025
"31",2025-01-08,2025-01-11,2025
"41",2025-01-15,2025-01-18,2025
"51",2025-02-12,2025-02-14,2025
"61",2025-04-09,2025-04-12,2025
"71",2025-04-16,2025-04-19,2025
"8",2025-04-30,2025-05-03,2025
"12",2025-12-02,2025-12-05,2026
"22",2025-12-10,2025-12-12,2026
"32",2026-01-06,2026-01-09,2026
"42",2026-01-13,2026-01-16,2026
"52",2026-02-04,2026-02-06,2026
"62",2026-02-10,2026-02-13,2026
"72",2026-04-21,2026-04-24,2026
"81",2026-04-28,2026-05-01,2026
