"","tagging_block","days_since_activation","n_tags","n_active","prop_active","water_year"
"1","1",0,16,16,1,"2026"
"2","1",1,16,16,1,"2026"
"3","1",2,16,16,1,"2026"
"4","1",3,16,16,1,"2026"
"5","1",4,16,16,1,"2026"
"6","1",5,16,16,1,"2026"
"7","1",6,16,16,1,"2026"
"8","1",7,16,16,1,"2026"
"9","1",8,16,16,1,"2026"
"10","1",9,16,16,1,"2026"
"11","1",10,16,16,1,"2026"
"12","1",11,16,16,1,"2026"
"13","1",12,16,16,1,"2026"
"14","1",13,16,16,1,"2026"
"15","1",14,16,16,1,"2026"
"16","1",15,16,16,1,"2026"
"17","1",16,16,16,1,"2026"
"18","1",17,16,16,1,"2026"
"19","1",18,16,16,1,"2026"
"20","1",19,16,16,1,"2026"
"21","1",20,16,16,1,"2026"
"22","1",21,16,16,1,"2026"
"23","1",22,16,16,1,"2026"
"24","1",23,16,16,1,"2026"
"25","1",24,16,16,1,"2026"
"26","1",25,16,16,1,"2026"
"27","1",26,16,16,1,"2026"
"28","1",27,16,16,1,"2026"
"29","1",28,16,16,1,"2026"
"30","1",29,16,16,1,"2026"
"31","1",30,16,16,1,"2026"
"32","1",31,16,16,1,"2026"
"33","1",32,16,16,1,"2026"
"34","1",33,16,16,1,"2026"
"35","1",34,16,16,1,"2026"
"36","1",35,16,16,1,"2026"
"37","1",36,16,16,1,"2026"
"38","1",37,16,16,1,"2026"
"39","1",38,16,16,1,"2026"
"40","1",39,16,16,1,"2026"
"41","1",40,16,16,1,"2026"
"42","1",41,16,16,1,"2026"
"43","1",42,16,16,1,"2026"
"44","1",43,16,16,1,"2026"
"45","1",44,16,16,1,"2026"
"46","1",45,16,16,1,"2026"
"47","1",46,16,16,1,"2026"
"48","1",47,16,16,1,"2026"
"49","1",48,16,16,1,"2026"
"50","1",49,16,16,1,"2026"
"51","1",50,16,16,1,"2026"
"52","1",51,16,16,1,"2026"
"53","1",52,16,16,1,"2026"
"54","1",53,16,16,1,"2026"
"55","1",54,16,16,1,"2026"
"56","1",55,16,16,1,"2026"
"57","1",56,16,16,1,"2026"
"58","1",57,16,16,1,"2026"
"59","1",58,16,16,1,"2026"
